time,low,high,open,close,volume
2022-08-24,0.8019,0.8406,0.832,0.8135,25232711.6
2022-08-25,0.8052,0.8321,0.8135,0.819,22782683.0
2022-08-26,0.7562,0.8484,0.8193,0.7667,58825306.5
2022-08-27,0.757,0.8147,0.7666,0.806,34756485.9
2022-08-28,0.7777,0.8337,0.8062,0.7827,30160499.1
2022-08-29,0.7621,0.8216,0.7826,0.817,34846024.6
2022-08-30,0.7829,0.844,0.8168,0.8157,34107791.5
2022-08-31,0.816,0.8588,0.816,0.8326,30208771.2
2022-09-01,0.8223,0.8957,0.8327,0.8847,42978723.9
2022-09-02,0.8629,0.9135,0.8849,0.8721,40315425.1
2022-09-03,0.8665,0.8904,0.8721,0.8893,20362117.3
2022-09-04,0.8724,0.8986,0.8893,0.8952,17516450.4
2022-09-05,0.8622,0.9028,0.895,0.8829,20145284.3
2022-09-06,0.812,0.9235,0.8829,0.8162,47207586.7
2022-09-07,0.7914,0.8515,0.8159,0.8403,31559139.5
2022-09-08,0.8154,0.8499,0.8405,0.8456,31938651.0
2022-09-09,0.8428,0.9007,0.8457,0.8901,27782378.4
2022-09-10,0.8785,0.9123,0.8901,0.906,21829545.6
2022-09-11,0.8761,0.9178,0.9058,0.8937,13431938.0
2022-09-12,0.8719,0.94,0.8938,0.9309,43196734.9
2022-09-13,0.8396,0.9439,0.9313,0.846,56233730.7
2022-09-14,0.8302,0.8684,0.8463,0.8644,31022801.3
2022-09-15,0.8171,0.876,0.864,0.8247,31814932.4
2022-09-16,0.7867,0.8309,0.8248,0.8067,27075375.0
2022-09-17,0.805,0.8312,0.8066,0.8286,8843702.9
2022-09-18,0.75,0.8363,0.8286,0.7533,19718623.5
2022-09-19,0.725,0.7759,0.7533,0.7657,27748083.2
2022-09-20,0.73,0.7695,0.7656,0.7335,30723571.6
2022-09-21,0.6901,0.7784,0.7336,0.7006,47786435.9
2022-09-22,0.7001,0.7627,0.7005,0.7519,30936521.1
2022-09-23,0.7227,0.7851,0.7522,0.7783,36232202.9
2022-09-24,0.7498,0.7822,0.7785,0.753,20125966.4
2022-09-25,0.731,0.7671,0.7527,0.7397,17744065.2
2022-09-26,0.7262,0.762,0.7396,0.7559,32675122.2
