time,low,high,open,close,volume
2021-03-11,0.314,0.59,0.3871,0.4243,226442305.9
2021-03-12,0.3924,0.5376,0.4249,0.4149,399949092.9
2021-03-13,0.4097,0.4694,0.4146,0.4249,173058984.7
2021-03-14,0.3727,0.4385,0.4263,0.3812,118930211.9
2021-03-15,0.3781,0.43,0.3812,0.3909,115608670.0
2021-03-16,0.348,0.3963,0.3917,0.3746,107185915.8
2021-03-17,0.3709,0.427,0.3735,0.4003,137536451.0
2021-03-18,0.3845,0.4378,0.4015,0.3893,106105992.1
2021-03-19,0.3737,0.4246,0.3896,0.4094,78726423.8
2021-03-20,0.3825,0.4195,0.4094,0.3837,52078388.0
2021-03-21,0.3646,0.4006,0.3837,0.3809,64138294.8
2021-03-22,0.3221,0.3845,0.3801,0.3456,72887659.8
2021-03-23,0.3252,0.3664,0.3465,0.3303,78755753.7
2021-03-24,0.3053,0.3779,0.3306,0.321,107637907.1
2021-03-25,0.2973,0.3364,0.3212,0.3003,112249593.1
2021-03-26,0.291,0.343,0.3004,0.3368,87190766.4
2021-03-27,0.3311,0.3576,0.3368,0.332,62733530.4
2021-03-28,0.3275,0.3555,0.3318,0.3462,57975840.6
2021-03-29,0.3368,0.4283,0.3464,0.3841,147010319.5
2021-03-30,0.36,0.3884,0.3843,0.3709,68529507.3
2021-03-31,0.3378,0.3839,0.3711,0.3614,63082004.5
2021-04-01,0.3525,0.3781,0.3616,0.3632,50534783.4
2021-04-02,0.357,0.397,0.3632,0.3832,68223037.1
2021-04-03,0.351,0.3989,0.3832,0.3517,45760028.0
2021-04-04,0.3438,0.3726,0.3514,0.3613,26679454.8
2021-04-05,0.346,0.3708,0.3613,0.3702,50549936.2
2021-04-06,0.361,0.3896,0.3709,0.3743,54829149.5
2021-04-07,0.3107,0.3758,0.3743,0.3377,59612515.7
2021-04-08,0.3357,0.3611,0.3378,0.356,29716160.5
2021-04-09,0.35,0.3838,0.356,0.3671,44904012.2
2021-04-10,0.3479,0.3757,0.3671,0.3577,36117416.9
2021-04-11,0.3505,0.3699,0.3575,0.3687,23895781.4
2021-04-12,0.3502,0.3728,0.3692,0.3575,31331397.6
2021-04-13,0.3574,0.4248,0.3582,0.4227,125532650.6
2021-04-14,0.3701,0.45,0.4231,0.4142,122910466.5
2021-04-15,0.4015,0.4599,0.4148,0.4406,96537311.2
2021-04-16,0.4074,0.4686,0.4403,0.4359,80129149.8
2021-04-17,0.4003,0.4399,0.4358,0.4031,47900138.9
2021-04-18,0.32,0.4071,0.4031,0.3647,114585605.7
2021-04-19,0.3258,0.3873,0.3649,0.3272,61733406.2
2021-04-20,0.2973,0.3522,0.3272,0.3428,82525434.1
2021-04-21,0.3282,0.3828,0.3428,0.3572,91117012.9
2021-04-22,0.345,0.4215,0.3572,0.35,154400768.2
2021-04-23,0.295,0.3876,0.3504,0.3824,123567420.3
2021-04-24,0.3387,0.3913,0.3824,0.3552,65540674.6
2021-04-25,0.3458,0.4039,0.3554,0.3845,84608757.0
2021-04-26,0.3794,0.5789,0.3845,0.5374,324937352.6
