time,low,high,open,close,volume
2022-11-01,0.873,0.9096,0.9028,0.874,21563877.8
2022-11-02,0.8364,0.897,0.874,0.8735,53435758.3
2022-11-03,0.8684,0.9912,0.8736,0.9511,77211789.1
2022-11-04,0.9503,1.1984,0.9509,1.1692,115621165.7
2022-11-05,1.1526,1.3042,1.1694,1.1847,74108030.5
2022-11-06,1.1311,1.2152,1.185,1.135,50837298.9
2022-11-07,1.1288,1.2918,1.1345,1.2572,82450932.3
2022-11-08,0.9,1.275,1.2573,1.0447,154787851.7
2022-11-09,0.761,1.0717,1.0442,0.8152,158005227.9
2022-11-10,0.8004,1.1574,0.8152,1.1213,154965739.5
2022-11-11,0.9671,1.1565,1.1209,1.0624,104878297.1
2022-11-12,0.924,1.0653,1.0626,0.9379,71584140.8
2022-11-13,0.8641,0.9668,0.938,0.8883,60329732.0
2022-11-14,0.8308,0.9641,0.8886,0.9164,77098800.7
2022-11-15,0.9058,0.9726,0.917,0.9409,58748589.9
2022-11-16,0.878,0.9551,0.9409,0.897,48368306.9
2022-11-17,0.861,0.9115,0.8974,0.8732,46018567.6
2022-11-18,0.8669,0.8993,0.873,0.8783,31240474.9
2022-11-19,0.8487,0.8826,0.8783,0.8753,24949704.5
2022-11-20,0.7983,0.8806,0.8752,0.8058,41184594.7
2022-11-21,0.7633,0.8204,0.8058,0.7953,53919069.8
2022-11-22,0.7775,0.8659,0.7953,0.8502,66460644.7
2022-11-23,0.8354,0.8721,0.8504,0.8607,46994493.9
2022-11-24,0.8412,0.8905,0.8607,0.8482,36270103.7
2022-11-25,0.8188,0.8491,0.8483,0.8436,23960885.1
2022-11-26,0.8382,0.8712,0.8439,0.8459,21987508.9
2022-11-27,0.8402,0.8655,0.846,0.8435,22478308.9
2022-11-28,0.8036,0.8486,0.8433,0.8209,37928981.3
2022-11-29,0.8129,0.8497,0.8213,0.8382,22869382.6
2022-11-30,0.8369,0.9446,0.8383,0.933,69784755.8
2022-12-01,0.9057,0.9454,0.9331,0.9107,56805498.2
