,timeStamp,date,from,to,valueMovement,tradeType,tokenSymbol,priceUSD,totalCostUSD,OCdailyPriceMovementUSD,HLdailyPriceMovementUSD,gas,gasPrice,totalGasCost
0,1615505342.0,2021-03-11,0xf977814e90da44bfa03b6295a0616a897441acec,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,-40000000,SELL,MATIC,0.4057,-16228000.0,-0.03720000000000001,0.27599999999999997,55842.0,180000000000.0,10051560000000000
1,1615514161.0,2021-03-12,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xf977814e90da44bfa03b6295a0616a897441acec,200000000,BUY,MATIC,0.4199,83980000.0,0.010000000000000009,0.14519999999999994,78342.0,150000000000.0,11751300000000000
2,1615523861.0,2021-03-12,0xf977814e90da44bfa03b6295a0616a897441acec,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,-100000000,SELL,MATIC,0.4199,-41990000.0,0.010000000000000009,0.14519999999999994,55842.0,144000000000.0,8041248000000000
3,1615594359.0,2021-03-13,0xf977814e90da44bfa03b6295a0616a897441acec,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,-80000000,SELL,MATIC,0.41975,-33580000.0,-0.010299999999999976,0.059699999999999975,55842.0,148000000000.0,8264616000000000
4,1615708995.0,2021-03-14,0x9afa066884ce723200438b672c0b8d5769e03a6a,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,552,BUY,MATIC,0.40375,222.87,0.04510000000000003,0.06580000000000003,200000.0,142800000000.0,28560000000000000
5,1615762084.0,2021-03-14,0xd59e5fe5c86d9c12ce0b575b7b3b0332d602b984,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,BUY,MATIC,0.40375,0.0,0.04510000000000003,0.06580000000000003,43098.0,141000000000.0,6076818000000000
6,1615867736.0,2021-03-16,0xf977814e90da44bfa03b6295a0616a897441acec,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,-20000000,SELL,MATIC,0.38315,-7663000.0,0.017100000000000004,0.04830000000000001,55842.0,145000000000.0,8097090000000000
7,1615869341.0,2021-03-16,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xf977814e90da44bfa03b6295a0616a897441acec,100000000,BUY,MATIC,0.38315,38315000.0,0.017100000000000004,0.04830000000000001,78342.0,154000000000.0,12064668000000000
8,1615894272.0,2021-03-16,0x802571c0288e5431f6ade5a8c38e11f54abaf527,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,1114,BUY,MATIC,0.38315,426.8291,0.017100000000000004,0.04830000000000001,62659.0,160000000000.0,10025440000000000
9,1615894272.0,2021-03-16,0x802571c0288e5431f6ade5a8c38e11f54abaf527,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,1114,BUY,MATIC,0.38315,426.8291,0.017100000000000004,0.04830000000000001,44659.0,155000000000.0,6922145000000000
10,1615947125.0,2021-03-17,0x20f1c9b5fa0c529be6ccc4c47efd287f22c14885,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,200,BUY,MATIC,0.3869,77.38000000000001,-0.02679999999999999,0.05609999999999998,62573.0,218000000000.0,13640914000000000
11,1616261080.0,2021-03-20,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xf977814e90da44bfa03b6295a0616a897441acec,54732973,BUY,MATIC,0.39654999999999996,21704360.44315,0.0257,0.03699999999999998,207128.0,297000000000.0,61517016000000000
12,1617634952.0,2021-04-05,0xf977814e90da44bfa03b6295a0616a897441acec,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,-54732973,SELL,MATIC,0.36575,-20018584.87475,-0.008899999999999963,0.024800000000000044,55860.0,260000000000.0,14523600000000000
